"You have downloaded the data from the Fruit and Nut Cultivars Database (http://www.fruitandnutlist.org) - 07-04-25"
" "
Cultivar,Description
BY69-1637P,"Orig. at Byron, Ga., by J.M. Thompson, U.S. Dept. of Agriculture S.E. Fruit & Tree Nut Res. Lab. Released in 1985. Open-pollinated seedling of BY4-997 × seedling apricot; BY 4-997 = Nubiana open­pollinated. Seed collected in 1968; selected in 1973. Fruit: large; skin dark purple-black, very light pubescence; round; flesh apricot colored, very firm, freestone, tart. Ripens 2 weeks after Santa Rosa. Tree: vigorous on peach rootstock; upright; only moderately productive. Moderately resistant to bacterial canker and bacterial spot; tolerant of plum leaf scald and brown rot. Adapted to the humid Southeast. Flowers large, pink, solitary, self-fertile; fertile with both plum and apricot. Released for breeding purposes because of tree health, fruit size, and fertility with both plum and apricot."
"Dapple Dandy","Orig. in Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. 58GA338 plum × plumcot selection of unknown parentage. 58GA338 is Laroda × Queen Ann. USPP 9254; 22 Aug. 1995. Fruit: globose to oblate, sl larger on one side, large size, 70 mm; skin tan to golden brown overspread with mottled dark red to bordeaux red, glabrous; flesh orange-white to pale orange around pit to light red to rose red near skin; high soluble solids, 17.4 average; clingstone. Ripens last of July in California. Tree: vigorous, upright, productive. Blossom: medium, white, glabrous pistil."
"Flavor Ann","An interspecific (apricot × plumcot) × plum with golden yellow pubescent skin. Origin: Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. Hybrid of 87EB90 = (apricot 15W297 × plumcot [= Red Beaut op]) × Royal Zee plum. USPP 10899 issued 18 May 199, assigned to Guillou Freres. Fruit: medium, 60 mm, 70 g, nearly globose; skin, golden yellow, pubescent; flesh yellow, firm, 16.0% SS; freestone; ripe third week of May in California. Tree: large, vigorous, semi-spreading; productive, self-fertile, pollinates Flavorella plumcot."
"Flavor Delight","Orig. in Modesto, Calif., by Floyd, Gary, and Grant Zaiger and Leith Gardner. Introd. as a home garden variety in 1989. Apricot × plumcot. Plant patent 7090; 2 Jan. 1990. Fruit: medium; skin dull yellow; flesh yellow, firm, freestone, with good sugar/acid balance; flavor delicate; high sugar, with 4°Brix higher than standard; cultivars; early maturing. Tree: vigorous; large; semi-upright; regular production."
Flavorella,"Orig. in Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. 35EA376 open-pollinated. 35FA376 is an open-pollinated seedling of Red Beaut. USPP 8470; 23 Nov. 1993. Fruit: globose; medium size, 57 mm; skin yellow to apricot yellow with soft pubescence shorter than apricot; flesh yellow; clingstone. In central California ripens 5-11 June. Tree: vigorous, semi-upright, productive. Blossom: medium, white, pubescent pistil."
Flavorfall,"An interspecific plum × plumcot with red skin and late ripening. Origin: in Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. Hybrid of 65EC752 (= unknown late plum op) × 4G1180 plumcot (= Redbeaut op). USPP 11990 issued 17 Jul. 2001. Fruit: large, 60 mm diameter, 181 g, globose; skin garnet red over yellow ground color, glabrous; flesh yellow, firm, 17.4% SS; cling; matures 20 days after Flavorich, the second week of October in California. Tree: large, vigorous, upright, productive; anthers orange, self-unfruitful."
"Flavor Gem","An interspecific (plumcot × plum) × plum with red skin. Origin: in Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. Hybrid of 21GB794 (= plumcot of unknown parentage × King David plum) × Royal Zee plum. USPP 10915 issued 25 May 1999. Fruit: medium, 60 mm diameter, 114 g, globose; skin garnet red over yellow ground color, glabrous; flesh yellow, firm, 20.5% SS; freestone; matures 1 week later than Flavor King, ripe third week of August in California. Tree: medium, vigorous, semi-spreading; productive."
Flavorglo,"An early-ripening yellow plumcot. Origin: in Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. Open-pollinated seedling of 35EA376 = (Red Beaut o.p.). USPP 8922 issued 4 Oct. 1994. Fruit: large, 66 mm diameter and long; globose to slightly elongated; skin yellow, short pubescence; flesh cream to golden-yellow, firm, cling; matures fourth week of May in California. Tree: large, vigorous, semi-upright, moderate production; pollen white, present."
"Flavor Gold","A complex interspecific plumcot with yellow skin. Origin: in Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. Open-pollinated seedling of 336LC131 (= 36ED128 (= Friar plum × Autumn Giant plum) × 7HC160{= (Friar op × 4G1180 plumcot [= Red Beaut op]) × 4G1180}). USPP 12074 issued 28 Aug. 2001. Fruit: large, 65 mm, 105 g, globose; skin, yellow, glabrous; flesh, yellow, firm, 22.1% SS; cling; ripe 1 week later than Flavor Queen, the first week of August in California. Tree: large, vigorous, upright; productive, anthers yellow, self-unfruitful."
"Flavor Heart","An interspecific plum × plumcot with dark red skin. Origin: Modesto, Calif., by Chris, Gary, and Grant Zaiger and Leith Gardner. Hybrid of 24EB412 plum (= Red Beaut op) × 4G1180 plumcot (= Red Beaut op). USPP 10608 issued 22 Sept. 1998. Fruit: large, 67 mm, heart shape; skin dark ruby, glabrous; flesh yellow, firm; clingstone; ripe first week August in California. Tree: large, vigorous, semi-spreading; productive."
